id,title,description,availability,condition,price,link,image_link,brand
3,Pioneer DEH-S1052UB Radio CD Player,"in dash car radio with FM, CD, front USB & AUX Input",In Stock,new,7500,http://amanivehiclesounds.co.ke/product/pioneer-deh-s1052ub-radio-cd-player,http://amanivehiclesounds.co.ke/uploads/product/Pioneer DEH-S1052UB-Radio-CD-Player-001.png,Pioneer
4,Pioneer DEH-S4250BT Bluetooth Radio,"Car Stereo with Dual Bluetooth, Spotify Connect, Siri Eyes Free & USB port.",In Stock,new,12000,http://amanivehiclesounds.co.ke/product/pioneer-deh-s4250bt-bluetooth-radio,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-DEH-S4250BT-Car-Radio-With-Bluetooth-001.png,Pioneer
5,Pioneer DVH-345UB car DVD Player.,Car Stereo with DVD/CD Player & front USB,In Stock,new,13500,http://amanivehiclesounds.co.ke/product/pioneer-dvh-345ub-car-dvd-player,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-DVH-345UB-Car-Radio-with-Fm-&-DVD-player-001.png,Pioneer
6,Pioneer DEH-X7850BT Car Radio,"Car Stereo with Dual Bluetooth, Dual USB, Spotify, Smartphone connectivity & Siri Eyes Free",Out of Stock,new,13000,http://amanivehiclesounds.co.ke/product/pioneer-deh-x7850bt-car-radio,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-DEH-X7850BT-In-Dash-Car-Radio-with-Bluetooth-001.png,Pioneer
7,Pioneer MVH-S305BT Car Stereo,"Car stereo with Bluetooth, Spotify and Siri eyes free",Out of Stock,new,8500,http://amanivehiclesounds.co.ke/product/pioneer-mvh-s305bt-car-stereo,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-MVH-S305BT-Car-Stereo-with-Bluetooth-hands-free-Calling-001.png,Pioneer
8,Pioneer FH-S525BT Car Audio Receiver,"Double-DIN Audio Receiver with MIXTRAX, Built-in Bluetooth, USB Direct Control for iPod/iPhone and Certain Android Phones",In Stock,new,13500,http://amanivehiclesounds.co.ke/product/pioneer-fh-s525bt-car-audio-receiver,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-FH-S525BT-Car-Audio-Receiver-001.png,Pioneer
9,Pioneer AVH-A105DVD Car Radio DVD player,in-Dash Double-DIN DVD Multimedia AV Receiver with 6.2? WVGA Touchscreen Display and Direct Control for iPod/iPhone,Out of Stock,new,17500,http://amanivehiclesounds.co.ke/product/pioneer-avh-a105dvd-car-radio-dvd-player,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-AVH-A105DVD-Car-Radio-DVD-player-001.png,Pioneer
10,Pioneer 2-Din Car Stereo AVH-A215BT,"Pioneer AVH-A215BT Car radio with DVD CD Player, USB, Bluetooth, android Mirroring",In Stock,new,20000,http://amanivehiclesounds.co.ke/product/pioneer-2-din-car-stereo-avh-a215bt,"http://amanivehiclesounds.co.ke/uploads/product/Pioneer-Car-Stereo-AVH-A215BT-with-Bluetooth,-USB,DVD-Player-.-001.png",Pioneer
11,Pioneer AVH-X395BT DVD Player Radio,"Stereo With app Radio Mode, built in Bluetooth, DVD & direct control for iphone/ipod",Out of Stock,new,23000,http://amanivehiclesounds.co.ke/product/pioneer-avh-x395bt-dvd-player-radio,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-AVH-X395BT-Car-Radio-With-Bluetooth-USB-DVD-Player.-001.png,Pioneer
12,Pioneer AVH-Z2250BT,"Car Radio stereo With Spotify, apple car play, Siri eyes free & Dual Bluetooth",In Stock,new,29999,http://amanivehiclesounds.co.ke/product/pioneer-avh-z2250bt,http://amanivehiclesounds.co.ke/uploads/product/Pioneer-AVH-Z2250BT--Car-Radio-with-Bluetooth-001.png,Pioneer
